Название,Размеры (ШхГхВ),Цвет,Производитель,Цена
Афина А18 Полка,1200x297x440,Ясень таормина или Дуб крафт (вставки венге),Заречье,от 5 200 
Бостон БС4 Тумба для теле- и радиоаппаратуры (на 1500 мм),1508x436x464,дуб ривьера / жемчуг глянцевый,Заречье,10 420 
Сона С9 Комод,850x385x796,зебрана сахара \ дуб венге,Заречье,8 930 
Модена М10 тумба прикроватная,584x435x468,лам. орех вирджиния,Заречье,4 980 
Модена М11 Комод,1024x435x885,лам. орех вирджиния,Заречье,12 280 
Модена М12 зеркало,880x20x560,лам. орех вирджиния,Заречье,2 930 
Агата АТ8 Тумба 906х385х1550,906x385x1550,Дуб седан,Заречье,22 730 
Афина А12 Шкаф для одежды и белья (высота 2100мм),582x385x2100,Ясень таормина,Заречье,10 410 
Афина А4 Шкаф для одежды и белья,584x438x2200,Ясень таормина или Дуб крафт (вставки венге),Заречье,11 440 
Ника Н3 Стойка-вешалка (на 900мм),900x379x2221,лам. белый\дуб сонома,Россия,12 520 
Ливадия Л21 Стеллаж,560x416x2205,Weave,Заречье,6 770 
Ника Н4 Стойка-вешалка (на 600мм),600x379x2221,лам. белый\дуб сонома,Заречье,9 220 
Ника Н6 Тумба туалетная,600x379x2221,лам. белый\дуб сонома,Россия,13 130 
Бостон БС10 Вешалка,624x352x2061,дуб ривьера / жемчуг глянцевый,Заречье,7 770 
Ника Н1 Шкаф для одежды,900x379x2221,лам. белый\дуб сонома,Заречье,17 480 
Ника Н2 Шкаф,600x379x2221,лам. белый\дуб сонома,Россия,10 660 
Сона С4 Шкаф для одежды и белья,594x505x1956,зебрана сахара\дуб венге,Заречье,9 430 
Ливадия Л18 Шкаф для одежды,560x457x2221,Weave,Заречье,11 550 
Ника Н33 Шкаф МНЦ 600х379х2221,600x379x2221,дуб сонома,Заречье,9 300 
Бостон БС11 Зеркало,624x32x986,дуб ривьера,Заречье,3 900 
Ника Н18 Зеркало,900x22x440,лам. белый\дуб сонома,Заречье,2 440 
